"一工路","Yigong Rd."
"馬頭厝","Matoucuo"
"馬龍潭路","Malongtan Rd."
"馬賽路","Masai Rd."
"高上路","Gaoshang Rd."
"高上路一段","Sec. 1, Gaoshang Rd."
"高上路二段","Sec. 2, Gaoshang Rd."
"高下路","Gaosia Rd."
"高士佛","Gaoshihfo"
"高士路","Gaoshih Rd."
"高山","Gaoshan"
"高山下","Gaoshansia"
"高山巷","Gaoshan Ln."
"高山街","Gaoshan St."
"高山路","Gaoshan Rd."
"高工一街","Gaogong 1st St."
"高工二街","Gaogong 2nd St."
"高工南路","Gaogong S. Rd."
"高工路","Gaogong Rd."
"高台","Gaotai"
"高台路","Gaotai Rd."
"高平巷","Gaoping Ln."
"高平路","Gaoping Rd."
"高幼路","Gaoyou Rd."
"高民路","Gaomin Rd."
"高田街","Gaotian St."
"高坑","Gaokeng"
"高坡","Gaopo"
"高坪一街","Gaoping 1st St."
"高坪七十二街","Gaoping 72nd St."
"高坪七十八街","Gaoping 78th St."
"高坪七十六街","Gaoping 76th St."
"高坪七十街","Gaoping 70th St."
"高坪七路","Gaoping 7th Rd."
"高坪九街","Gaoping 9th St."
"高坪二十一街","Gaoping 21st St."
"高坪二十七南街","Gaoping 27th S. St."
"高坪二十七街","Gaoping 27th St."
"高坪二十九路","Gaoping 29th Rd."
"高坪二十二路","Gaoping 22nd Rd."
"高坪二十八街","Gaoping 28th St."
"高坪二十三路","Gaoping 23rd Rd."
"高坪二十五路","Gaoping 25th Rd."
"高坪二十六街","Gaoping 26th St."
"高坪二十街","Gaoping 20th St."
"高坪二街","Gaoping 2nd St."
"高坪八十街","Gaoping 80th St."
"高坪八路","Gaoping 8th Rd."
"高坪十一路","Gaoping 11th Rd."
"高坪十七街","Gaoping 17th St."
"高坪十九街","Gaoping 19th St."
"高坪十二街","Gaoping 12th St."
"高坪十八路","Gaoping 18th Rd."
"高坪十三街","Gaoping 13th St."
"高坪十五路","Gaoping 15th Rd."
"高坪十六街","Gaoping 16th St."
"高坪十街","Gaoping 10th St."
"高坪三十一街","Gaoping 31st St."
"高坪三十七路","Gaoping 37th Rd."
"高坪三十九街","Gaoping 39th St."
"高坪三十二街","Gaoping 32nd St."
"高坪三十八街","Gaoping 38th St."
"高坪三十三街","Gaoping 33rd St."
"高坪三十五街","Gaoping 35th St."
"高坪三十六街","Gaoping 36th St."
"高坪三十街","Gaoping 30th St."
"高坪三街","Gaoping 3rd St."
"高坪五十二街","Gaoping 52nd St."
"高坪五十八街","Gaoping 58th St."
"高坪五十六街","Gaoping 56th St."
"高坪五十路","Gaoping 50th Rd."
"高坪五路","Gaoping 5th Rd."
"高坪六十二街","Gaoping 62nd St."
"高坪六十八街","Gaoping 68th St."
"高坪六十六路","Gaoping 66th Rd."
"高坪六十街","Gaoping 60th St."
"高坪六街","Gaoping 6th St."
"高昌街","Gaochang St."
"高東路","Gaodong Rd."
"高松路","Gaosong Rd."
"高林","Gaolin"
"高青路","Gaocing Rd."
"高城一街","Gaocheng 1st St."
"高城七街","Gaocheng 7th St."
"高城九街","Gaocheng 9th St."
"高城二街","Gaocheng 2nd St."
"高城八街","Gaocheng 8th St."
"高城三街","Gaocheng 3rd St."
"高城五街","Gaocheng 5th St."
"高城六街","Gaocheng 6th St."
"高城路","Gaocheng Rd."
"高洲一街","Gaozhou 1st St."
"高洲二街","Gaozhou 2nd St."
"高洲三街","Gaozhou 3rd St."
"高洲五街","Gaozhou 5th St."
"高洲六街","Gaozhou 6th St."
"高洲路","Gaozhou Rd."
"高美路","Gaomei Rd."
"高苗","Gaomiao"
"高原","Gaoyuan"
"高原一街","Gaoyuan 1st St."
"高原里大庄","Dazhuang, Gaoyuan Vil."
"高原街","Gaoyuan St."
"高原路","Gaoyuan Rd."
"高埔","Gaopu"
"高峰巷","Gaofong Ln."
"高峰街","Gaofong St."
"高峰路","Gaofong Rd."
"高院路","Gaoyuan Rd."
"高崗路","Gaogang Rd."
"高速一街一段","Sec. 1, Gaosu 1st St."
"高速一街二段","Sec. 2, Gaosu 1st St."
"高速二街","Gaosu 2nd St."
"高速公路加油站","Highway Gas Station"
"高速公路西螺休息站","Highway Siluo Rest Stop"
"高發一路","Gaofa 1st Rd."
"高發二路","Gaofa 2nd Rd."
"高發三路","Gaofa 3rd Rd."
"高發三路一段","Sec. 1, Gaofa 3rd Rd."
"高發三路二段","Sec. 2, Gaofa 3rd Rd."
"高華商場","Gaohua Market"
"高陽路","Gaoyang Rd."
"高雄大學路","Gaosyongdasyue Rd."
"高園路","Gaoyuan Rd."
"高新街","Gaosin St."
"高楊北路","Gaoyang N. Rd."
"高楊南路","Gaoyang S. Rd."
"高楠一街","Gaonan 1st St."
"高楠七街","Gaonan 7th St."
"高楠九街","Gaonan 9th St."
"高楠二街","Gaonan 2nd St."
"高楠八街","Gaonan 8th St."
"高楠十街","Gaonan 10th St."
"高楠三街","Gaonan 3rd St."
"高楠五街","Gaonan 5th St."
"高楠公路","Gaonan Highway"
"高楠公路屏山巷","Pingshan Ln., Gaonan Highway"
"高楠六街","Gaonan 6th St."
"高楠北街","Gaonan N. St."
"高楠四街","Gaonan 4th St."
"高獅路","Gaoshih Rd."
"高義蘭","Gaoyilan"
"高榮路","Gaorong Rd."
"高熊﻿𡶛","Gaosyongka"
"高爾富路","Gao'erfu Rd."
"高翠路","Gaocuei Rd."
"高鳳一路","Gaofong 1st Rd."
"高鳳路","Gaofong Rd."
"高寮","Gaoliao"
"高碼一巷","Gaoma 1st Ln."
"高碼一路","Gaoma 1st Rd."
"高碼七巷","Gaoma 7th Ln."
"高碼二巷","Gaoma 2nd Ln."
"高碼二路","Gaoma 2nd Rd."
"高碼三巷","Gaoma 3rd Ln."
"高碼五巷","Gaoma 5th Ln."
"高碼六巷","Gaoma 6th Ln."
"高碼四巷","Gaoma 4th Ln."
"高樹村同安路","Tong'an Rd., Gaoshu Vil."
"高橋坑","Gaociaokeng"
"高興路","Gaosing Rd."
"高遶坪","Gaoraoping"
"高職西街","Gaozhi W. St."
"高職東街","Gaozhi E. St."
"高職南街","Gaozhi S. St."
"高職農場","Gaozhi Farm"
"高豐街","Gaofong St."
"高雙路","Gaoshuang Rd."
"高邊路","Gaobian Rd."
"高鵬一街","Gaopeng 1st St."
"高鵬二街","Gaopeng 2nd St."
"高鵬三街","Gaopeng 3rd St."
"高鵬路","Gaopeng Rd."
"高鐵一路","Gaotie 1st Rd."
"高鐵一路一段","Sec. 1, Gaotie 1st Rd."
"高鐵一路二段","Sec. 2, Gaotie 1st Rd."
"高鐵一路三段","Sec. 3, Gaotie 1st Rd."
"高鐵七路","Gaotie 7th Rd."
"高鐵九路","Gaotie 9th Rd."
"高鐵二路","Gaotie 2nd Rd."
"高鐵二路一段","Sec. 1, Gaotie 2nd Rd."
"高鐵二路二段","Sec. 2, Gaotie 2nd Rd."
"高鐵二路三段","Sec. 3, Gaotie 2nd Rd."
"高鐵八路","Gaotie 8th Rd."
"高鐵十二路","Gaotie 12th Rd."
"高鐵十路","Gaotie 10th Rd."
"高鐵三街","Gaotie 3rd St."
"高鐵三路","Gaotie 3rd Rd."
"高鐵三路一段","Sec. 1, Gaotie 3rd Rd."
"高鐵三路二段","Sec. 2, Gaotie 3rd Rd."
"高鐵三路三段","Sec. 3, Gaotie 3rd Rd."
"高鐵大道","Gaotie Blvd."
"高鐵大道一段","Sec. 1, Gaotie Blvd."
"高鐵五路","Gaotie 5th Rd."
"高鐵六路","Gaotie 6th Rd."
"高鐵北一路","Gaotie N. 1st Rd."
"高鐵北路","Gaotie N. Rd."
"高鐵北路一段","Sec. 1, Gaotie N. Rd."
"高鐵北路二段","Sec. 2, Gaotie N. Rd."
"高鐵北路三段","Sec. 3, Gaotie N. Rd."
"高鐵田中路一段","Sec. 1, Gaotietian Central Rd."
"高鐵田中路二段","Sec. 2, Gaotietian Central Rd."
"高鐵西路","Gaotie W. Rd."
"高鐵東一路","Gaotie E. 1st Rd."
"高鐵東一路一段","Sec. 1, Gaotie E. 1st Rd."
"高鐵東一路二段","Sec. 2, Gaotie E. 1st Rd."
"高鐵東七路","Gaotie E. 7th Rd."
"高鐵東二路","Gaotie E. 2nd Rd."
"高鐵東八路","Gaotie E. 8th Rd."
"高鐵東三路一段","Sec. 1, Gaotie E. 3rd Rd."
"高鐵東五路一段","Sec. 1, Gaotie E. 5th Rd."
"高鐵東五路二段","Sec. 2, Gaotie E. 5th Rd."
"高鐵東六路","Gaotie E. 6th Rd."
"高鐵東路","Gaotie E. Rd."
"高鐵東路一段","Sec. 1, Gaotie E. Rd."
"高鐵南一路","Gaotie S. 1st Rd."
"高鐵南路","Gaotie S. Rd."
"高鐵南路一段","Sec. 1, Gaotie S. Rd."
"高鐵南路七段","Sec. 7, Gaotie S. Rd."
"高鐵南路九段","Sec. 9, Gaotie S. Rd."
"高鐵南路二段","Sec. 2, Gaotie S. Rd."
"高鐵南路八段","Sec. 8, Gaotie S. Rd."
"高鐵南路十段","Sec. 10, Gaotie S. Rd."
"高鐵南路三段","Sec. 3, Gaotie S. Rd."
"高鐵南路五段","Sec. 5, Gaotie S. Rd."
"高鐵南路六段","Sec. 6, Gaotie S. Rd."
"高鐵南路四段","Sec. 4, Gaotie S. Rd."
"高鐵站前西路一段","Sec. 1, Gaotiezhancian W. Rd."
"高鐵站前西路二段","Sec. 2, Gaotiezhancian W. Rd."
"高鐵站前西路三段","Sec. 3, Gaotiezhancian W. Rd."
"高鐵站前東路一段","Sec. 1, Gaotiezhancian E. Rd."
"高鐵站前東路二段","Sec. 2, Gaotiezhancian E. Rd."
"高鐵路","Gaotie Rd."
"高鐵路一段","Sec. 1, Gaotie Rd."
"高鐵路二段","Sec. 2, Gaotie Rd."
"高鐵路三段","Sec. 3, Gaotie Rd."
"高鐵綠園路一段","Sec. 1, Gaotielyuyuan Rd."
"高鐵總廠路","Gaotiezongchang Rd."
"乾坑","Gankeng"
"乾溪","Gansi"
"乾溪東路","Gansi E. Rd."
"乾溪路","Gansi Rd."
"乾興路","Gansing Rd."
"亀佛山","Gueifoshan"
"偉成街","Weicheng St."
"健中路","Jianzhong Rd."
"健民街","Jianmin St."
"健民路","Jianmin Rd."
"健民路山脚巷","Shanjiao Ln., Jianmin Rd."
"健安街","Jian'an St."
"健行北一路","Jiansing N. 1st Rd."
"健行北路","Jiansing N. Rd."
"健行南一路","Jiansing S. 1st Rd."
"健行南路","Jiansing S. Rd."
"健行新村","Jiansing New Village"
"健行路","Jiansing Rd."
"健東一街","Jiandong 1st St."
"健東二街","Jiandong 2nd St."
"健東路","Jiandong Rd."
"健康一街","Jiankang 1st St."
"健康七街","Jiankang 7th St."
"健康九路","Jiankang 9th Rd."
"健康二街","Jiankang 2nd St."
"健康二路","Jiankang 2nd Rd."
"健康八街","Jiankang 8th St."
"健康十一街","Jiankang 11th St."
"健康十七街","Jiankang 17th St."
"健康十二路","Jiankang 12th Rd."
"健康十八街","Jiankang 18th St."
"健康十三路","Jiankang 13th Rd."
"健康十五街","Jiankang 15th St."
"健康十六街","Jiankang 16th St."
"健康十街","Jiankang 10th St."
"健康三街","Jiankang 3rd St."
"健康三路","Jiankang 3rd Rd."
"健康五街","Jiankang 5th St."
"健康六路","Jiankang 6th Rd."
"健康四街","Jiankang 4th St."
"健康街","Jiankang St."
"健康新村一街","1st St., Jiankang New Village"
"健康新村二街","2nd St., Jiankang New Village"
"健康新村三街","3rd St., Jiankang New Village"
"健康新村五街","5th St., Jiankang New Village"
"健康新村六街","6th St., Jiankang New Village"
"健康新村四街","4th St., Jiankang New Village"
"健康新路","Jiankangsin Rd."
"健康路","Jiankang Rd."
"健康路一段","Sec. 1, Jiankang Rd."
"健康路二段","Sec. 2, Jiankang Rd."
"健康路三段","Sec. 3, Jiankang Rd."
"健富路一段","Sec. 1, Jianfu Rd."
"健富路二段","Sec. 2, Jianfu Rd."
"健福街","Jianfu St."
"健興路","Jiansing Rd."
"健鷹南路","Jianying S. Rd."
"副瀨","Fulai"
"匏子園","Paozihyuan"
"匏子寮","Paozihliao"
"匏杓崙路","Paoshaulun Rd."
"匏杓崙路華美巷","Huamei Ln., Paoshaulun Rd."
"匏杓崙路蘭陽三巷","Lanyang 3rd Ln., Paoshaulun Rd."
"區東路","Cyudong Rd."
"區界西路","Cyujie W. Rd."
"區界東路","Cyujie E. Rd."
"區運路","Cyuyun Rd."
"唪口","Fongkou"
"商工路","Shanggong Rd."
"商協路","Shangsie Rd."
"商協福利路","Shangsiefuli Rd."
"商校街","Shangsiao St."
"商港一路","Shanggang 1st Rd."
"商港七路","Shanggang 7th Rd."
"商港九路","Shanggang 9th Rd."
"商港二路","Shanggang 2nd Rd."
"商港八路","Shanggang 8th Rd."
"商港三路","Shanggang 3rd Rd."
"商港五路","Shanggang 5th Rd."
"商港六路","Shanggang 6th Rd."
"商港街","Shanggang St."
"商港路","Shanggang Rd."
"商華街","Shanghua St."
"啓明路","Ciming Rd."
"啓東路","Cidong Rd."
"啓智街","Cizhi St."
"啞口","Yakou"
"啟文路","Ciwun Rd."
"啟文路一段","Sec. 1, Ciwun Rd."
"啟文路二段","Sec. 2, Ciwun Rd."
"啟文路三段","Sec. 3, Ciwun Rd."
"啟昌街","Cichang St."
"啟明街","Ciming St."
"啟南路","Cinan Rd."
"啟新路","Cisin Rd."
"啟聖街","Cisheng St."
"啟賢街","Cisian St."
"啦卡路","Laka Rd."
"啦里吧","Laliba"
"國中一路","Guozhong 1st Rd."
"國中二路","Guozhong 2nd Rd."
"國中巷","Guozhong Ln."
"國中街","Guozhong St."
"國中路","Guozhong Rd."
"國中路十股巷","Shihgu Ln., Guozhong Rd."
"國中路竹圍巷","Zhuwei Ln., Guozhong Rd."
"國公路","Guogong Rd."
"國平北路","Guoping N. Rd."
"國平西路","Guoping W. Rd."
"國平東路","Guoping E. Rd."
"國平南路","Guoping S. Rd."
"國平路","Guoping Rd."
"國民","Guomin"
"國民一街","Guomin 1st St."
"國民七街","Guomin 7th St."
"國民九街","Guomin 9th St."
"國民二街","Guomin 2nd St."
"國民八街","Guomin 8th St."
"國民十一街","Guomin 11th St."
"國民十二街","Guomin 12th St."
"國民十街","Guomin 10th St."
"國民三街","Guomin 3rd St."
"國民中路","Guomin Central Rd."
"國民五街","Guomin 5th St."
"國民六街","Guomin 6th St."
"國民四街","Guomin 4th St."
"國民南路","Guomin S. Rd."
"國民街","Guomin St."
"國民路","Guomin Rd."
"國光一巷","Guoguang 1st Ln."
"國光一街","Guoguang 1st St."
"國光七街","Guoguang 7th St."
"國光二巷","Guoguang 2nd Ln."
"國光二街","Guoguang 2nd St."
"國光八街","Guoguang 8th St."
"國光三街","Guoguang 3rd St."
"國光五街","Guoguang 5th St."
"國光六街","Guoguang 6th St."
"國光北路","Guoguang N. Rd."
"國光南路","Guoguang S. Rd."
"國光巷","Guoguang Ln."
"國光街","Guoguang St."
"國光新村","Guoguang New Village"
"國光新城","Guoguang Sincheng"
"國光路","Guoguang Rd."
"國光路一段","Sec. 1, Guoguang Rd."
"國光路二段","Sec. 2, Guoguang Rd."
"國宅","Civil House"
"國宅巷","Guozhai Ln."
"國宅街","Guozhai St."
"國宅路","Guozhai Rd."
"國安一街","Guo'an 1st St."
"國安一路","Guo'an 1st Rd."
"國安二街","Guo'an 2nd St."
"國安二路","Guo'an 2nd Rd."
"國安三街","Guo'an 3rd St."
"國安街","Guo'an St."
"國安路","Guo'an Rd."
"國姓路","Guosing Rd."
"國昌一街","Guochang 1st St."
"國昌二街","Guochang 2nd St."
"國昌三街","Guochang 3rd St."
"國昌五街","Guochang 5th St."
"國昌街","Guochang St."
"國昌路","Guochang Rd."
"國治街","Guozhi St."
"國治路","Guozhi Rd."
"國采街","Guocai St."
"國信街","Guosin St."
"國勇巷","Guoyong Ln."
"國城一街","Guocheng 1st St."
"國城二街","Guocheng 2nd St."
"國城三街","Guocheng 3rd St."
"國城四街","Guocheng 4th St."
"國建一路","Guojian 1st Rd."
"國建二路","Guojian 2nd Rd."
"國建三路","Guojian 3rd Rd."
"國風","Guofong"
"國風街","Guofong St."
"國校前","Guosiaocian"
"國校巷","Guosiao Ln."
"國校街","Guosiao St."
"國校新村","Guosiao New Village"
"國校路","Guosiao Rd."
"國泰街","Guotai St."
"國泰新村","Guotai New Village"
"國泰路","Guotai Rd."
"國泰路一段","Sec. 1, Guotai Rd."
"國泰路二段","Sec. 2, Guotai Rd."
"國軒路","Guosyuan Rd."
"國強一街","Guociang 1st St."
"國強七街","Guociang 7th St."
"國強二街","Guociang 2nd St."
"國強八街","Guociang 8th St."
"國強十一街","Guociang 11th St."
"國強十二街","Guociang 12th St."
"國強十三街","Guociang 13th St."
"國強十街","Guociang 10th St."
"國強六街","Guociang 6th St."
"國強街","Guociang St."
"國盛一街","Guosheng 1st St."
"國盛七街","Guosheng 7th St."
"國盛二街","Guosheng 2nd St."
"國盛八街","Guosheng 8th St."
"國盛三街","Guosheng 3rd St."
"國盛五街","Guosheng 5th St."
"國盛六街","Guosheng 6th St."
"國盛四街","Guosheng 4th St."
"國盛街","Guosheng St."
"國祥街","Guosiang St."
"國凱街","Guokai St."
"國勝路","Guosheng Rd."
"國富","Guofu"
"國富一街","Guofu 1st St."
"國富七街","Guofu 7th St."
"國富九街","Guofu 9th St."
"國富二十一街","Guofu 21st St."
"國富二十七街","Guofu 27th St."
"國富二十二街","Guofu 22nd St."
"國富二十八街","Guofu 28th St."
"國富二十三街","Guofu 23rd St."
"國富二十五街","Guofu 25th St."
"國富二十六街","Guofu 26th St."
"國富二十四街","Guofu 24th St."
"國富二十街","Guofu 20th St."
"國富二街","Guofu 2nd St."
"國富八街","Guofu 8th St."
"國富十一街","Guofu 11th St."
"國富十七街","Guofu 17th St."
"國富十九街","Guofu 19th St."
"國富十二街","Guofu 12th St."
"國富十八街","Guofu 18th St."
"國富十三街","Guofu 13th St."
"國富十五街","Guofu 15th St."
"國富十六街","Guofu 16th St."
"國富十四街","Guofu 14th St."
"國富十街","Guofu 10th St."
"國富三街","Guofu 3rd St."
"國富五街","Guofu 5th St."
"國富六街","Guofu 6th St."
"國富路","Guofu Rd."
"國揚一街","Guoyang 1st St."
"國揚二街","Guoyang 2nd St."
"國揚三街","Guoyang 3rd St."
"國揚五街","Guoyang 5th St."
"國揚四街","Guoyang 4th St."
"國華一巷","Guohua 1st Ln."
"國華一街","Guohua 1st St."
"國華二街","Guohua 2nd St."
"國華街","Guohua St."
"國華街一段","Sec. 1, Guohua St."
"國華街二段","Sec. 2, Guohua St."
"國華街三段","Sec. 3, Guohua St."
"國華街四段","Sec. 4, Guohua St."
"國華新村","Guohua New Village"
"國華路","Guohua Rd."
"國隆路","Guolong Rd."
"國順街","Guoshun St."
"國園一街","Guoyuan 1st St."
"國園三街","Guoyuan 3rd St."
"國園五街","Guoyuan 5th St."
"國園街","Guoyuan St."
"國瑞街","Guoruei St."
"國瑞路","Guoruei Rd."
"國義路","Guoyi Rd."
"國聖一街","Guosheng 1st St."
"國聖二街","Guosheng 2nd St."
"國聖三街","Guosheng 3rd St."
"國聖五街","Guosheng 5th St."
"國聖六街","Guosheng 6th St."
"國聖四街","Guosheng 4th St."
"國聖街","Guosheng St."
"國聖路","Guosheng Rd."
"國道路一段","Sec. 1, Guodao Rd."
"國道路二段","Sec. 2, Guodao Rd."
"國道路三段","Sec. 3, Guodao Rd."
"國鼎一街","Guoding 1st St."
"國鼎二街","Guoding 2nd St."
"國榮路","Guorong Rd."
"國福","Guofu"
"國福街","Guofu St."
"國福路","Guofu Rd."
"國際一巷","Guoji 1st Ln."
"國際一街","Guoji 1st St."
"國際一路","Guoji 1st Rd."
"國際二巷","Guoji 2nd Ln."
"國際二街","Guoji 2nd St."
"國際二路","Guoji 2nd Rd."
"國際城","Guojicheng"
"國際街","Guoji St."
"國際路","Guoji Rd."
"國際路一段","Sec. 1, Guoji Rd."
"國際路二段","Sec. 2, Guoji Rd."
"國際路三段","Sec. 3, Guoji Rd."
"國慶一街","Guocing 1st St."
"國慶七街","Guocing 7th St."
"國慶九街","Guocing 9th St."
"國慶二街","Guocing 2nd St."
"國慶八街","Guocing 8th St."
"國慶十一街","Guocing 11th St."
"國慶十二街","Guocing 12th St."
"國慶十街","Guocing 10th St."
"國慶三街","Guocing 3rd St."
"國慶五街","Guocing 5th St."
"國慶六街","Guocing 6th St."
"國慶街","Guocing St."
"國慶路","Guocing Rd."
"國賢一街","Guosian 1st St."
"國賢二街","Guosian 2nd St."
"國賢三街","Guosian 3rd St."
"國學街","Guosyue St."
"國興一街","Guosing 1st St."
"國興二街","Guosing 2nd St."
"國興三街","Guosing 3rd St."
"國興五街","Guosing 5th St."
"國興六街","Guosing 6th St."
"國興四街","Guosing 4th St."
"國興街","Guosing St."
"國興路","Guosing Rd."
"國聯一路","Guolian 1st Rd."
"國聯二路","Guolian 2nd Rd."
"國聯三路","Guolian 3rd Rd."
"國聯五路","Guolian 5th Rd."
"國聯四路","Guolian 4th Rd."
"國聯街","Guolian St."
"國豐一街","Guofong 1st St."
"國豐七街","Guofong 7th St."
"國豐二街","Guofong 2nd St."
"國豐八街","Guofong 8th St."
"國豐十街","Guofong 10th St."
"國豐三街","Guofong 3rd St."
"國豐五街","Guofong 5th St."
"國豐六街","Guofong 6th St."
"國豐街","Guofong St."
"國豐路","Guofong Rd."
"國豐路一段","Sec. 1, Guofong Rd."
"國豐路二段","Sec. 2, Guofong Rd."
"國豐路三段","Sec. 3, Guofong Rd."
"國寶街","Guobao St."
"國馨","Guosin"
"埤口路","Pikou Rd."
"埤子","Pizih"
"埤子尾","Pizihwei"
"埤子頭","Pizihtou"
"埤子頭街","Pizihtou St."
"埤子頭路","Pizihtou Rd."
"埤內巷","Pinei Ln."
"埤斗子","Pidouzih"
"埤北路","Pibei Rd."
"埤圳北路","Pizun N. Rd."
"埤圳南路","Pizun S. Rd."
"埤竹路","Pizhu Rd."
"埤西巷","Pisi Ln."
"埤尾","Piwei"
"埤尾路","Piwei Rd."
"埤角","Pijiao"
"埤周路","Pizhou Rd."
"埤岸路","Pi'an Rd."
"埤底巷","Pidi Ln."
"埤前一路","Pician 1st Rd."
"埤南巷","Pinan Ln."
"埤後","Pihou"
"埤島","Pidao"
"埤堂","Pitang"
"埤脚","Pijiao"
"埤頂","Piding"
"埤頂街","Piding St."
"埤麻","Pima"
"埤麻脚","Pimajiao"
"埤麻脚農場","Pimajiao Farm"
"埤墘一路","Pician 1st Rd."
"埤墘路","Pician Rd."
"埤寮","Piliao"
"埤寮路","Piliao Rd."
"埤頭","Pitou"
"埤頭一街","Pitou 1st St."
"埤頭二街","Pitou 2nd St."
"埤頭北路","Pitou N. Rd."
"埤頭南路","Pitou S. Rd."
"埤頭巷","Pitou Ln."
"埤頭面","Pitoumian"
"埤頭路","Pitou Rd."
"執信一街","Zhihsin 1st St."
"執信二街","Zhihsin 2nd St."
"培安二街","Pei'an 2nd St."
"培安四街","Pei'an 4th St."
"培安路","Pei'an Rd."
"培育路","Peiyu Rd."
"培英一街","Peiying 1st St."
"培英二街","Peiying 2nd St."
"培英三街","Peiying 3rd St."
"培英五街","Peiying 5th St."
"培英六街","Peiying 6th St."
"培英巷","Peiying Ln."
"培英街","Peiying St."
"培英路","Peiying Rd."
"培德街","Peide St."
"培德新邨","Peide New Village"
"培德路","Peide Rd."
"基山街","Jishan St."
"基河路","Jihe Rd."
"基金一路","Jijin 1st Rd."
"基金二路","Jijin 2nd Rd."
"基金三路","Jijin 3rd Rd."
"基泰商場","Jitai Market"
"基國派","Jiguopai"
"基國派路","Jiguopai Rd."
"基湖路","Jihu Rd."
"基隆路一段","Sec. 1, Keelung Rd."
"基隆路二段","Sec. 2, Keelung Rd."
"基隆路三段","Sec. 3, Keelung Rd."
"基隆路四段","Sec. 4, Keelung Rd."
"基隆嶼","Keelung Islet"
"基翬路","Jihuei Rd."
"堀子頭","Kuzihtou"
"堀尺嶺","Kuchihling"
"堀江街","Kujiang St."
"堀頭","Kutou"
"堀邊巷","Kubian Ln."
"堂內巷","Tangnei Ln."
"堅如路","Jianru Rd."
"堵南街","Dunan St."
"密枝","Mizhi"
"將軍","Jiangjyun"
"將軍岩","Jiangjyunyan"
"將軍澳","Jiangjyun'ao"
"將富","Jiangfu"
"將貴","Jiangguei"
"將榮","Jiangrong"
"崇仁街","Chongren St."
"崇仁路","Chongren Rd."
"崇仁路一段","Sec. 1, Chongren Rd."
"崇元一街","Chongyuan 1st St."
"崇元二街","Chongyuan 2nd St."
"崇元三街","Chongyuan 3rd St."
"崇元五街","Chongyuan 5th St."
"崇元六街","Chongyuan 6th St."
"崇元四街","Chongyuan 4th St."
"崇文三街","Chongwun 3rd St."
"崇文巷","Chongwun Ln."
"崇文街","Chongwun St."
"崇文路","Chongwun Rd."
"崇文路二段","Sec. 2, Chongwun Rd."
"崇右巷","Chongyou Ln."
"崇平路","Chongping Rd."
"崇本街","Chongben St."
"崇正路","Chongzheng Rd."
"崇仰一路","Chongyang 1st Rd."
"崇仰七路","Chongyang 7th Rd."
"崇仰九路","Chongyang 9th Rd."
"崇仰二路","Chongyang 2nd Rd."
"崇仰三路","Chongyang 3rd Rd."
"崇仰五路","Chongyang 5th Rd."
"崇仰六路","Chongyang 6th Rd."
"崇吉一街","Chongji 1st St."
"崇吉二街","Chongji 2nd St."
"崇安一街","Chong'an 1st St."
"崇安街","Chong'an St."
"崇孝街","Chongsiao St."
"崇和路","Chonghe Rd."
"崇尚街","Chongshang St."
"崇明一街","Chongming 1st St."
"崇明七街","Chongming 7th St."
"崇明九街","Chongming 9th St."
"崇明二十二街","Chongming 22nd St."
"崇明二十三街","Chongming 23rd St."
"崇明二十五街","Chongming 25th St."
"崇明二十四街","Chongming 24th St."
"崇明二十街","Chongming 20th St."
"崇明二街","Chongming 2nd St."
"崇明十一街","Chongming 11th St."
"崇明十七街","Chongming 17th St."
"崇明十九街","Chongming 19th St."
"崇明十二街","Chongming 12th St."
"崇明十八街","Chongming 18th St."
"崇明十三街","Chongming 13th St."
"崇明十五街","Chongming 15th St."
"崇明十六街","Chongming 16th St."
"崇明十四街","Chongming 14th St."
"崇明十街","Chongming 10th St."
"崇明三街","Chongming 3rd St."
"崇明五街","Chongming 5th St."
"崇明六街","Chongming 6th St."
"崇明四街","Chongming 4th St."
"崇明街","Chongming St."
"崇明街協和巷","Siehe Ln., Chongming St."
"崇明街新生巷","Sinsheng Ln., Chongming St."
"崇明路","Chongming Rd."
"崇武街","Chongwu St."
"崇武路","Chongwu Rd."
"崇法街","Chongfa St."
"崇信街","Chongsin St."
"崇勇街","Chongyong St."
"崇倫北街","Chonglun N. St."
"崇倫街","Chonglun St."
"崇恩路","Chong'en Rd."
"崇偉路","Chongwei Rd."
"崇勝一街","Chongsheng 1st St."
"崇勝二街","Chongsheng 2nd St."
"崇勝三街","Chongsheng 3rd St."
"崇善一街","Chongshan 1st St."
"崇善七街","Chongshan 7th St."
"崇善九街","Chongshan 9th St."
"崇善二街","Chongshan 2nd St."
"崇善八街","Chongshan 8th St."
"崇善十一街","Chongshan 11th St."
"崇善十二街","Chongshan 12th St."
"崇善十三街","Chongshan 13th St."
"崇善十五街","Chongshan 15th St."
"崇善十六街","Chongshan 16th St."
"崇善十四街","Chongshan 14th St."
"崇善十街","Chongshan 10th St."
"崇善三街","Chongshan 3rd St."
"崇善五街","Chongshan 5th St."
"崇善六街","Chongshan 6th St."
"崇善四街","Chongshan 4th St."
"崇善東路","Chongshan E. Rd."
"崇善街","Chongshan St."
"崇善路","Chongshan Rd."
"崇惠路","Chonghuei Rd."
"崇智街","Chongzhi St."
"崇朝一路","Chongchao 1st Rd."
"崇朝路","Chongchao Rd."
"崇陽街","Chongyang St."
"崇廉街","Chonglian St."
"崇愛街","Chong'ai St."
